Date,Open,High,Low,Close,Adj Close,Volume
2015-03-18,82.860001,84.050003,82.019997,83.750000,76.675827,12602400
2015-03-19,83.459999,83.750000,83.120003,83.379997,76.337067,9257500
2015-03-20,83.989998,84.790001,83.769997,84.739998,77.582207,22580300
2015-03-23,84.370003,85.050003,84.360001,84.860001,77.692055,9828300
2015-03-24,84.889999,85.110001,83.870003,83.919998,76.831451,7478800
2015-03-25,84.370003,84.370003,82.860001,83.010002,75.998322,8482200
2015-03-26,82.580002,82.610001,81.949997,82.150002,75.210960,7311600
2015-03-27,82.080002,82.540001,81.989998,82.309998,75.357430,6440600
2015-03-30,82.629997,82.949997,82.150002,82.720001,75.732819,6416800
2015-03-31,82.760002,82.930000,81.940002,81.940002,75.018707,8649700
2015-04-01,82.440002,82.449997,81.449997,82.320000,75.366608,7371800
2015-04-02,82.169998,82.589996,81.919998,82.430000,75.467323,6169800
2015-04-06,81.919998,83.230003,81.510002,83.040001,76.025787,6856300
2015-04-07,82.930000,83.290001,82.330002,82.389999,75.430702,6329900
2015-04-08,82.300003,83.180000,82.269997,82.769997,75.778587,6523400
2015-04-09,82.629997,82.949997,82.010002,82.889999,75.888451,6185000
2015-04-10,82.800003,83.629997,82.720001,83.349998,76.309616,7001700
2015-04-13,83.000000,83.949997,82.940002,83.430000,76.382843,8290500
2015-04-14,83.389999,83.879997,83.050003,83.599998,76.538483,6170500
2015-04-15,83.849998,84.199997,83.480003,83.510002,76.456093,7006400
2015-04-16,83.559998,84.070000,83.349998,83.500000,76.446930,7615900
2015-04-17,83.000000,83.220001,82.029999,82.529999,75.558861,9533800
2015-04-20,83.089996,83.980003,82.800003,82.870003,75.870155,7414000
2015-04-21,83.389999,83.800003,82.900002,83.080002,76.062416,7696400
2015-04-22,83.220001,83.339996,82.599998,83.089996,76.071564,6753100
2015-04-23,81.419998,82.099998,80.900002,80.949997,74.708443,14569500
2015-04-24,81.040001,81.529999,80.900002,81.000000,74.754601,8785500
2015-04-27,80.910004,81.199997,80.470001,80.599998,74.385445,9192300
2015-04-28,80.730003,80.820000,80.190002,80.419998,74.219299,8395500
2015-04-29,80.000000,80.309998,79.720001,79.849998,73.693253,11858500
2015-04-30,79.949997,80.150002,79.070000,79.510002,73.379486,9409300
2015-05-01,79.760002,80.320000,79.629997,80.290001,74.099335,8193000
2015-05-04,80.480003,80.970001,80.300003,80.349998,74.154716,7203800
2015-05-05,80.500000,80.650002,79.779999,80.070000,73.896294,6589400
2015-05-06,80.339996,80.580002,79.519997,80.400002,74.200867,7335700
2015-05-07,80.370003,80.550003,80.000000,80.199997,74.016266,7224300
2015-05-08,80.889999,81.209999,80.820000,80.959999,74.717659,6929400
2015-05-11,80.949997,80.989998,80.260002,80.269997,74.080872,5237800
2015-05-12,80.029999,80.290001,79.360001,79.949997,73.785553,6305800
2015-05-13,80.160004,80.589996,79.550003,79.699997,73.554817,6459900
2015-05-14,80.110001,80.690002,80.089996,80.570000,74.357750,5634200
2015-05-15,80.830002,81.120003,80.730003,81.050003,74.800743,7454800
2015-05-18,80.970001,81.129997,80.500000,80.739998,74.514641,5578900
2015-05-19,80.750000,80.949997,80.330002,80.830002,74.597710,5729500
2015-05-20,80.930000,81.000000,80.449997,80.480003,74.274681,5487000
2015-05-21,80.169998,80.580002,79.839996,80.410004,74.210098,6054700
2015-05-22,80.239998,80.400002,79.919998,79.949997,73.785553,6003600
2015-05-26,79.970001,80.070000,78.940002,79.139999,73.038017,6698300
2015-05-27,79.220001,79.940002,79.089996,79.389999,73.268723,8094600
2015-05-28,79.430000,79.449997,79.019997,79.330002,73.213364,5803400
2015-05-29,79.180000,79.239998,78.190002,78.389999,72.345825,12491400
2015-06-01,78.650002,79.070000,78.269997,78.849998,72.770370,7588000
2015-06-02,78.459999,78.720001,78.169998,78.540001,72.484276,7352800
2015-06-03,78.910004,78.930000,78.269997,78.559998,72.502724,5985800
2015-06-04,78.410004,78.839996,78.059998,78.150002,72.124336,7714600
2015-06-05,78.040001,78.120003,77.370003,77.430000,71.459846,9439700
2015-06-08,77.480003,77.980003,77.099998,77.709999,71.718262,10885800
2015-06-09,77.970001,79.330002,77.820000,78.900002,72.816505,11528900
2015-06-10,79.230003,79.790001,79.010002,79.540001,73.407166,9483500
2015-06-11,79.930000,79.930000,79.239998,79.410004,73.287186,7633300
2015-06-12,79.169998,79.320000,78.570000,78.870003,72.788826,6508600
2015-06-15,78.330002,78.459999,77.930000,78.120003,72.096649,7527900
2015-06-16,79.599998,79.599998,78.540001,79.099998,73.001083,8285700
2015-06-17,79.199997,80.190002,79.160004,80.080002,73.905533,9305800
2015-06-18,80.330002,81.220001,80.300003,80.820000,74.588463,10712500
2015-06-19,80.709999,81.199997,80.480003,80.540001,74.330070,15598800
2015-06-22,80.919998,81.180000,80.330002,80.449997,74.246986,6907900
2015-06-23,80.330002,80.449997,79.620003,79.790001,73.637894,7190600
2015-06-24,79.800003,79.849998,79.500000,79.510002,73.379486,8843700
2015-06-25,79.709999,79.900002,79.389999,79.389999,73.268723,5855700
2015-06-26,79.540001,79.739998,79.279999,79.339996,73.222572,7703200
2015-06-29,78.949997,79.370003,78.260002,78.320000,72.281227,7966200
2015-06-30,78.919998,79.010002,78.129997,78.239998,72.207397,8451400
2015-07-01,78.389999,79.769997,78.120003,79.720001,73.573280,8868000
2015-07-02,80.010002,80.349998,79.769997,79.930000,73.767097,6602500
2015-07-06,79.610001,80.220001,79.500000,80.050003,73.877831,6601200
2015-07-07,80.059998,81.830002,80.059998,81.720001,75.419075,11690400
2015-07-08,81.209999,81.690002,80.889999,80.989998,74.745354,6724700
2015-07-09,81.750000,82.000000,80.519997,80.660004,74.440804,10419800
2015-07-10,81.230003,81.360001,80.760002,80.949997,74.708443,6892500
2015-07-13,81.519997,82.040001,81.339996,81.910004,75.594437,7332900
2015-07-14,82.040001,82.459999,81.980003,82.040001,75.714409,6119500
2015-07-15,81.910004,82.320000,81.839996,82.150002,75.815926,6673700
2015-07-16,82.449997,82.550003,82.099998,82.300003,75.954361,6623400
2015-07-17,81.889999,82.379997,81.599998,82.239998,75.898979,5827300
2015-07-20,82.089996,82.349998,82.000000,82.190002,75.852829,4952100
2015-07-21,82.010002,82.129997,81.370003,81.629997,75.336014,7512400
2015-07-22,81.029999,81.300003,80.669998,80.830002,75.208549,6106400
2015-07-23,80.830002,80.889999,80.139999,80.699997,75.087578,5380900
2015-07-24,80.510002,80.730003,80.230003,80.290001,74.706100,5660800
2015-07-27,79.830002,80.070000,79.430000,79.970001,74.408356,8613600
2015-07-28,80.139999,80.660004,79.910004,80.230003,74.650276,8649900
2015-07-29,80.260002,80.989998,80.160004,80.620003,75.013153,8921500
2015-07-30,79.400002,79.480003,77.150002,77.389999,72.007790,22067800
2015-07-31,77.629997,77.739998,76.660004,76.699997,71.365761,11877200
2015-08-03,76.510002,77.089996,76.010002,76.400002,71.086647,9511300
2015-08-04,76.029999,76.339996,75.750000,75.910004,70.630714,13369100
2015-08-05,76.050003,76.540001,75.750000,75.769997,70.500443,10895400
2015-08-06,76.010002,76.010002,75.250000,75.739998,70.472527,9353300
2015-08-07,75.589996,75.720001,75.339996,75.480003,70.230614,10045400
2015-08-10,75.949997,76.500000,75.800003,76.379997,71.068024,9165900
2015-08-11,76.040001,76.449997,75.809998,76.220001,70.919167,7462000
2015-08-12,75.889999,76.430000,75.339996,76.389999,71.077339,10397700
2015-08-13,76.489998,76.510002,75.629997,75.779999,70.509766,5948000
2015-08-14,75.739998,75.809998,75.379997,75.620003,70.360878,5580600
2015-08-17,75.809998,75.809998,74.750000,75.529999,70.277145,8683900
2015-08-18,75.580002,75.800003,75.000000,75.129997,69.904953,7445900
2015-08-19,74.930000,74.930000,74.019997,74.120003,68.965202,9865300
2015-08-20,73.750000,74.720001,73.459999,73.910004,68.769814,10696500
