Date,Open,High,Low,Close,Adj Close,Volume
2015-03-18,117.430000,120.519997,116.730003,119.959999,114.670448,5506700
2015-03-19,120.000000,121.099998,119.820000,120.760002,115.435181,4032500
2015-03-20,121.349998,121.529999,119.000000,119.139999,113.886620,7195700
2015-03-23,119.480003,120.480003,118.589996,119.040001,113.791031,4570600
2015-03-24,118.900002,119.639999,118.080002,118.120003,112.911606,3054700
2015-03-25,118.849998,119.750000,116.510002,116.540001,111.401268,3385500
2015-03-26,116.070000,117.209999,114.599998,116.250000,111.124054,2856400
2015-03-27,116.059998,118.220001,116.019997,118.010002,112.806442,2556200
2015-03-30,122.320000,123.760002,120.529999,121.000000,115.664597,5178500
2015-03-31,120.800003,120.930000,118.220001,118.290001,113.074097,4573100
2015-04-01,119.519997,119.519997,116.540001,117.449997,112.271111,4811200
2015-04-02,117.599998,118.379997,116.870003,117.360001,112.185104,2497100
2015-04-06,116.019997,118.519997,115.949997,117.699997,112.510109,2544700
2015-04-07,119.449997,119.830002,117.269997,117.349998,112.175529,2528500
2015-04-08,117.779999,118.830002,117.470001,118.190002,112.978516,2627000
2015-04-09,117.830002,118.760002,117.599998,118.550003,113.322632,2247200
2015-04-10,118.550003,119.099998,117.970001,119.000000,113.752785,2232600
2015-04-13,121.000000,121.309998,119.129997,119.370003,114.106468,3961000
2015-04-14,119.339996,120.180000,118.519997,119.919998,114.632217,3201800
2015-04-15,120.379997,120.739998,116.550003,117.320000,112.146866,7344000
2015-04-16,121.930000,122.320000,120.519997,121.599998,116.238159,7068000
2015-04-17,121.000000,121.050003,117.739998,118.709999,113.475571,4390000
2015-04-20,119.849998,120.330002,118.070000,118.580002,113.351295,4650700
2015-04-21,119.000000,119.629997,118.760002,119.279999,114.020447,3379800
2015-04-22,119.540001,119.940002,117.169998,117.809998,112.615265,3846700
2015-04-23,117.480003,118.580002,116.959999,118.260002,113.045425,3244300
2015-04-24,118.279999,119.089996,118.019997,118.690002,113.456459,3139200
2015-04-27,119.180000,119.410004,116.070000,116.239998,111.114502,5174300
2015-04-28,116.889999,117.739998,114.279999,117.589996,112.404961,4144800
2015-04-29,116.220001,117.320000,112.040001,113.610001,108.600449,7122600
2015-04-30,113.529999,114.330002,111.120003,111.400002,106.487907,6705600
2015-05-01,112.290001,113.660004,111.739998,113.199997,108.208534,5805100
2015-05-04,113.699997,114.930000,113.449997,114.559998,109.508560,3531500
2015-05-05,113.940002,114.279999,113.010002,113.370003,108.371048,3960400
2015-05-06,114.000000,114.489998,112.660004,113.489998,108.485748,3369800
2015-05-07,113.150002,115.139999,113.110001,114.760002,109.699760,3300200
2015-05-08,115.930000,116.589996,115.050003,115.680000,110.579185,3066000
2015-05-11,115.610001,115.790001,114.720001,114.769997,109.709312,3376400
2015-05-12,114.230003,115.080002,113.830002,114.639999,109.585037,3844600
2015-05-13,114.620003,116.300003,114.620003,115.860001,110.751251,3667700
2015-05-14,117.180000,118.620003,116.209999,118.529999,113.303505,4771400
2015-05-15,118.779999,119.349998,118.309998,119.330002,114.068253,3083800
2015-05-18,119.220001,119.980003,118.839996,119.800003,114.517509,2815300
2015-05-19,119.820000,121.129997,119.690002,120.550003,115.234444,3554900
2015-05-20,120.730003,121.849998,120.029999,121.239998,115.894020,3379200
2015-05-21,120.760002,120.839996,120.050003,120.459999,115.148399,2983500
2015-05-22,120.300003,120.779999,119.139999,119.589996,114.316765,2945900
2015-05-26,119.220001,119.589996,117.699997,118.239998,113.026299,3014500
2015-05-27,118.879997,119.849998,118.269997,119.449997,114.182938,2887700
2015-05-28,119.309998,119.820000,118.290001,119.620003,114.345444,2873600
2015-05-29,120.059998,121.620003,117.739998,120.209999,114.909447,5913300
2015-06-01,120.540001,120.559998,118.750000,119.860001,114.574867,3876400
2015-06-02,119.489998,119.680000,117.410004,117.750000,112.557899,4197000
2015-06-03,118.000000,118.989998,117.449997,118.349998,113.131447,3438100
2015-06-04,117.919998,117.970001,116.029999,116.650002,111.506401,3300300
2015-06-05,116.330002,116.750000,115.360001,116.529999,111.391693,2724500
2015-06-08,116.379997,117.669998,116.320000,116.910004,111.754951,3264400
2015-06-09,116.930000,117.379997,115.790001,116.989998,111.831413,3047300
2015-06-10,117.029999,118.879997,116.730003,118.550003,113.322632,4006400
2015-06-11,118.410004,119.940002,118.220001,119.320000,114.541763,3815600
2015-06-12,118.839996,119.000000,117.500000,117.650002,112.938652,3076600
2015-06-15,116.830002,120.879997,116.000000,118.980003,114.215378,6809500
2015-06-16,119.139999,122.180000,119.000000,121.550003,116.682465,7229400
2015-06-17,121.900002,122.199997,119.169998,119.739998,114.944962,4805900
2015-06-18,120.389999,121.379997,119.919998,120.889999,116.048897,3478300
2015-06-19,120.650002,120.879997,119.900002,120.330002,115.511330,4178700
2015-06-22,121.629997,122.230003,119.940002,120.250000,115.434532,4435600
2015-06-23,121.370003,122.769997,121.010002,122.739998,117.824814,4991000
2015-06-24,122.800003,123.000000,119.099998,119.169998,114.397781,4650500
2015-06-25,119.570000,123.410004,119.500000,122.330002,117.431229,6149500
2015-06-26,123.790001,124.110001,122.730003,123.250000,118.314407,16358200
2015-06-29,122.040001,123.029999,121.110001,121.190002,116.336876,3604000
2015-06-30,122.419998,122.940002,121.000000,122.000000,117.114449,4982600
2015-07-01,122.949997,123.650002,122.220001,123.379997,118.439194,3269300
2015-07-02,123.820000,123.879997,121.019997,121.809998,116.932053,3682300
2015-07-06,119.599998,123.099998,119.260002,122.160004,117.268051,6522800
2015-07-07,122.360001,122.800003,117.809998,120.699997,115.866516,6476200
2015-07-08,119.050003,119.989998,118.400002,118.779999,114.023392,4009800
2015-07-09,120.040001,120.559998,119.309998,119.339996,114.560974,3315600
2015-07-10,120.989998,122.750000,120.699997,122.150002,117.258438,4033500
2015-07-13,123.099998,123.750000,121.809998,122.449997,117.546432,3766900
2015-07-14,122.180000,125.199997,122.000000,125.000000,119.994316,4192400
2015-07-15,124.949997,126.050003,123.809998,125.860001,120.819878,5067300
2015-07-16,125.419998,125.500000,122.099998,124.930000,119.927109,7216600
2015-07-17,124.699997,124.980003,123.699997,123.849998,118.890381,3702700
2015-07-20,124.050003,124.230003,122.330002,122.650002,117.738434,3199700
2015-07-21,122.570000,122.720001,120.339996,120.860001,116.020096,4239100
2015-07-22,120.970001,121.239998,120.080002,120.610001,115.780113,3384700
2015-07-23,121.629997,121.680000,118.760002,119.330002,114.551353,4896100
2015-07-24,119.120003,119.720001,117.580002,117.940002,113.217041,3840600
2015-07-27,117.879997,118.089996,116.660004,117.879997,113.159431,3752300
2015-07-28,118.739998,121.570000,118.500000,121.519997,116.653679,5216900
2015-07-29,121.820000,122.110001,120.620003,121.519997,116.653679,3924400
2015-07-30,121.139999,121.919998,119.550003,120.559998,115.732117,3732400
2015-07-31,120.470001,122.720001,120.470001,121.400002,116.538490,3593000
2015-08-03,121.610001,122.169998,120.139999,120.889999,116.048897,2541300
2015-08-04,121.580002,121.629997,120.230003,120.839996,116.000908,2058200
2015-08-05,121.760002,124.239998,121.760002,123.919998,118.957558,3831900
2015-08-06,124.370003,124.639999,121.800003,122.040001,117.152855,3014900
2015-08-07,121.709999,121.860001,120.260002,121.820000,116.941650,2276300
2015-08-10,122.500000,123.339996,121.940002,122.480003,117.575218,2480000
2015-08-11,121.269997,123.019997,121.269997,122.260002,117.364044,2578500
